money_id ,unit_money ,quantity_money ,
money797,dollars ,130,
money798,dollars ,130,
money799,dollars ,50,
money800,dollars ,50,
money801,dollars ,1,
money802,dollars ,1,
money803,dollars ,18,
money804,cents ,60,
money805,dollars ,0.5,
money806,dollars ,33,
money807,cents ,71,
money808,dollars ,7,
money809,cents ,23,
money810,dollars ,2,
money811,cents ,10,
money812,dollars ,20,
money813,dollars ,20,
money814,dollars ,1,
money815,cents ,25,
money816,dollars ,20,
money817,dollars ,20,
money818,dollars ,40,
money819,dollars ,40,
money820,cents ,75,
money821,cents ,75,
money822,dollars ,75,
money823,dollars ,75,
money824,dollars ,75,
money825,dollars ,75,
money826,cents ,17,
money827,dollars ,1,
money828,dollars ,5,
money829,dollars ,5,
money830,dollars ,1,
money831,dollars ,1,
money832,cents ,57,
money833,cents ,57,
money834,dollars ,3,
money835,dollars ,3,
money836,cents ,50,
money837,cents ,50,
money838,dollars ,5,
money839,dollars ,5,
money840,dollars ,12,
money841,dollars ,12,
money842,cents ,65,
money843,cents ,65,
money844,cents ,25,
money845,cents ,25,
money846,dollars ,26,
money847,dollars ,26,
money848,cents ,10,
money849,cents ,10,
money850,dollars ,5,
money851,cents ,25,
money852,cents ,11,
money853,cents ,11,
money854,cents ,85,
money855,cents ,85,
money856,dollars ,0.5,
money857,dollars ,16,
money858,cents ,69,
money859,dollars ,2,
money860,cents ,25,
money861,dollars ,6,
money862,dollars ,3,
money863,dollars ,58,
money864,cents ,50,
money865,dollars ,1,
money866,cents ,50,
money867,dollars ,4,
money868,cents ,95,
money869,dollars ,140,
money870,  ,  ,
money871,  ,  ,
money872,  ,  ,
money873,  ,  ,
money874,  ,  ,
money875,  ,  ,
money876,  ,  ,
money877,  ,  ,
money878,  ,  ,
money879,  ,  ,
money880,  ,  ,
money881,  ,  ,
money882,  ,  ,
money883,  ,  ,
money884,  ,  ,
money885,  ,  ,
money886,  ,  ,
money887,  ,  ,
money888,  ,  ,
money889,  ,  ,
money890,  ,  ,
money891,  ,  ,
money892,  ,  ,
money893,  ,  ,
money894,  ,  ,
money895,  ,  ,
money896,  ,  ,
money897,  ,  ,
money898,  ,  ,
money899,  ,  ,
money900,  ,  ,
money901,  ,  ,
money902,  ,  ,
money903,  ,  ,
money904,  ,  ,
money905,  ,  ,
money906,  ,  ,
money907,  ,  ,
money908,  ,  ,
money909,  ,  ,
money910,  ,  ,
money911,  ,  ,
money912,  ,  ,
money913,  ,  ,
money914,  ,  ,
money915,  ,  ,
money916,  ,  ,
money917,  ,  ,
money918,  ,  ,
money919,  ,  ,
money920,  ,  ,
money921,  ,  ,
money922,  ,  ,
money923,  ,  ,
money924,  ,  ,
money925,  ,  ,
money926,  ,  ,
money927,  ,  ,
money928,  ,  ,
money929,  ,  ,
money930,  ,  ,
money931,  ,  ,
money932,  ,  ,
money933,  ,  ,
money934,  ,  ,
money935,  ,  ,
money936,  ,  ,
money937,  ,  ,
money938,  ,  ,
money939,  ,  ,
money940,  ,  ,
money941,  ,  ,
money942,  ,  ,
money943,  ,  ,
money944,  ,  ,
money945,  ,  ,
money946,  ,  ,
money947,  ,  ,
money948,  ,  ,
money949,  ,  ,
money950,  ,  ,
money951,  ,  ,
money952,  ,  ,
money953,  ,  ,
money954,  ,  ,
money955,  ,  ,
money956,  ,  ,
money957,dollars ,92,
money958,cents ,53,
money959,dollars ,30,
money960,dollars ,40,
money961,dollars ,22,
money962,dollars ,20,
money963,dollars ,10,
money964,dollars ,10,
money965,dollars ,5,
money966,dollars ,5,
money967,dollars ,30,
money968,dollars ,30,
money969,dollars ,4,
money970,dollars ,4,
money971,cents ,75,
money972,cents ,75,
money973,dollars ,1,
money974,dollars ,1,
money975,dollars ,10,
money976,dollars ,10,
money977,dollars ,2,
money978,dollars ,2,
money979,cents ,50,
money980,cents ,50,
money981,dollars ,23,
money982,dollars ,11,
money983,cents ,34,
money984,dollars ,14,
money985,cents ,50,
money986,dollars ,25,
money987,cents ,10,
money988,dollars ,4,
money989,dollars ,1,
money990,dollars ,20,
money991,cents ,80,
money992,dollars ,20,
money993,cents ,80,
money994,dollars ,1,
money995,dollars ,5,
money996,cents ,50,
money997,cents ,99,
money998,cents ,99,
money999,dollars ,1,
money1000,dollars ,1,
money1001,cents ,1,
money1002,cents ,1,
money1003,cents ,25,
money1004,dollars ,1,
money1005,dollars ,1,
money1006,cents ,53,
money1007,cents ,53,
money1008,cents ,29,
money1009,cents ,29,
money1010,dollars ,16,
money1011,dollars ,16,
money1012,cents ,75,
money1013,cents ,75,
money1014,dollars ,1,
money1015,dollars ,1,
money1016,cents ,65,
money1017,cents ,65,
money1018,cents ,37,
money1019,cents ,37,
money1020,dollars ,1,
money1021,dollars ,1,
money1022,cents ,27,
money1023,cents ,27,
money1024,cents ,90,
money1025,cents ,90,
money1026,  ,  ,
money1027,  ,  ,
money1028,  ,  ,
money1029,  ,  ,
money1030,  ,  ,
money1031,  ,  ,
money1032,  ,  ,
money1033,  ,  ,
money1034,  ,  ,
money1035,  ,  ,
money1036,  ,  ,
money1037,  ,  ,
money1038,  ,  ,
money1039,  ,  ,
money1040,  ,  ,
money1041,  ,  ,
money1042,  ,  ,
money1043,  ,  ,
money1044,  ,  ,
money1045,  ,  ,
money1046,  ,  ,
money1047,  ,  ,
money1048,  ,  ,
money1049,  ,  ,
money1050,  ,  ,
money1051,  ,  ,
money1052,  ,  ,
money1053,  ,  ,
money1054,  ,  ,
money1055,  ,  ,
money1056,  ,  ,
money1057,  ,  ,
money1058,  ,  ,
money1059,  ,  ,
money1060,  ,  ,
money1061,  ,  ,
money1062,  ,  ,
money1063,  ,  ,
money1064,  ,  ,
money1065,  ,  ,
money1066,  ,  ,
money1067,  ,  ,
money1068,  ,  ,
money1069,  ,  ,
money1070,  ,  ,
money1071,  ,  ,
money1072,  ,  ,
money1073,  ,  ,
money1074,  ,  ,
money1075,  ,  ,
money1076,  ,  ,
money1077,  ,  ,
money1078,  ,  ,
